Source,Target,Weight
mace,whole cloves,0.3609986928340631
cream of tartar,semisweet chocolate,0.29662008455751904
california bay leaves,prunes,0.2765832954732024
ground red pepper,lower sodium chicken broth,0.2802907219172398
baby spinach leaves,salad oil,0.2678077834791147
dried cranberries,low-fat buttermilk,0.2950755261779372
low-fat sour cream,reduced fat sharp cheddar cheese,0.30910093642997616
cinnamon sticks,star anise,0.3659937938856052
curry leaves,lentils,0.25836318213910064
grated jack cheese,guacamole,0.2672747302882439
cumin seed,fennel seeds,0.2777250794546477
bottled clam juice,white hominy,0.26638929378581894
reduced fat milk,vanilla beans,0.25705540139630795
chopped celery,lump crab meat,0.27753172312606617
bittersweet chocolate,hazelnuts,0.34776998961472033
beets,red cabbage,0.28134707820139815
ginger paste,red chili powder,0.29629273519168803
bottled clam juice,fish fillets,0.29602250586576606
grated coconut,poppy seeds,0.36028547511096926
salsa,tortillas,0.2790733851042023
chopped fresh thyme,fresh oregano,0.26258212183218
seaweed,wonton wrappers,0.26174697804374986
rice noodles,tamarind paste,0.32585902653940185
anchovies,pepper flakes,0.2786217273236298
all purpose unbleached flour,ice water,0.2868761427363091
ginger paste,green cardamom,0.3735392598090284
marinade,oyster sauce,0.2509803257827587
clams,lobster,0.2828353131363264
chopped celery,oysters,0.2897735738397232
chile pepper,fresh curry leaves,0.33476199178794913
blackberries,fresh raspberries,0.3492512498715646
instant espresso powder,unsweetened cocoa powder,0.3588387580430205
cooking wine,oyster sauce,0.27266639063348563
gari,rice vinegar,0.27290948858262587
dark rum,large egg yolks,0.2529124330324426
boneless pork shoulder,guajillo chiles,0.2899457595472954
curds,seeds,0.3196183746618403
curry leaves,masala,0.27650307622049114
mint sprigs,strawberries,0.304113918094818
coconut milk,coconut oil,0.3142495519431228
lime zest,shrimp paste,0.2954384386333922
chopped fresh mint,hamburger buns,0.26674394485771014
basmati rice,ground turmeric,0.2671384517636963
allspice,guajillo chiles,0.2810037318682531
bananas,vanilla ice cream,0.2513775954042036
red chili powder,tumeric,0.2712883965139068
baguette,california bay leaves,0.25234951586219484
cotija,mayonaise,0.25874875526709396
vanilla extract,white sugar,0.26076974692768
agave nectar,grapeseed oil,0.26018871275347116
green chilies,oil,0.2794932414469213
chili sauce,rice noodles,0.26423260863752934
cornflour,sunflower oil,0.3464630987486747
chopped pecans,pecan halves,0.30389664601679317
radicchio,sherry vinegar,0.31465773854565643
dried shiitake mushrooms,sesame oil,0.2562426320624333
boiling water,dried porcini mushrooms,0.33505725533673647
fresh dill,greek yogurt,0.2834774521509859
jumbo shrimp,saffron threads,0.2652362302677121
pistachios,saffron,0.3007712984251563
shaoxing wine,szechwan peppercorns,0.3603199403538471
fontina cheese,prosciutto,0.31934398863284386
guacamole,tortilla chips,0.2846176166234548
chopped celery,rubbed sage,0.3030517443114248
orange liqueur,tequila,0.4092239848563999
japanese eggplants,thai red curry paste,0.2835766074386492
lemon grass,rice paper,0.2546566047551557
cider vinegar,collard greens,0.27591333757614844
rice wine,soy sauce,0.27401135726441966
savoy cabbage,turnips,0.2895562881593583
andouille sausage,red beans,0.27546512664710837
hoisin sauce,sriracha,0.30619622342906017
salsa,taco seasoning mix,0.2824570417045977
frozen chopped spinach,part-skim mozzarella cheese,0.3195514315126801
green cardamom,kasuri methi,0.3878084170620562
fenugreek seeds,mustard seeds,0.3555070804681995
corn starch,water chestnuts,0.27539364485860257
cilantro stems,unsweetened coconut milk,0.2696561798729528
adobo sauce,poblano peppers,0.2666862535282845
potato starch,rice wine,0.25499875336051236
serrano chile,white onion,0.2579720268267468
ginger paste,green cardamom pods,0.297013425638782
flour tortillas,mexican cheese,0.25108436761162994
chickpeas,tumeric,0.25043317485500965
cremini mushrooms,pearl onions,0.28087180477724216
chopped green chilies,ripe olives,0.273521121096604
ground almonds,plain flour,0.295160666309979
cumin seed,ground turmeric,0.3587757712687127
medium shrimp,rice paper,0.27190359438159845
anchovies,gochujang base,0.31665969144909306
pancetta,pecorino cheese,0.25591134850604985
chickpea flour,yoghurt,0.2753579521004079
ghee,red chili powder,0.27833332184088183
corn husks,lard,0.38128010986445443
guajillo chiles,mexican oregano,0.3000949733611934
fat free milk,sweetened coconut flakes,0.2545302013325493
fat free milk,large egg whites,0.3192478505612161
chillies,fresh coriander,0.33633636942831274
beef brisket,cabbage,0.3214229601311295
self rising flour,white cornmeal,0.2700733024216697
fresh marjoram,orzo,0.26942873076441437
chile powder,sweet paprika,0.25648196432197773
anchovy paste,creole mustard,0.2511984350708558
chili oil,scallion greens,0.2573760636825533
guajillo chiles,lard,0.3217310720897937
amchur,ghee,0.3025863420996383
diced green chilies,enchilada sauce,0.3169262807806688
rotisserie chicken,sage,0.2654837015738912
chili oil,konbu,0.2515943423411739
fresh mint,rice paper,0.3302390903401405
cardamom,tumeric,0.2557989728509796
chopped green bell pepper,reduced fat sharp cheddar cheese,0.28134707820139815
fresh herbs,mint,0.3059950124198199
gochujang base,pepper flakes,0.3253583625390805
ground sirloin,reduced-fat sour cream,0.282536838086594
grated orange,orange liqueur,0.2825152807278084
nori,white miso,0.3228488614907033
light coconut milk,lime wedges,0.25394985215553534
feta cheese crumbles,ground lamb,0.25290394245954745
lamb,preserved lemon,0.25895328651895155
cardamom pods,star anise,0.29013013971711316
cayenne pepper,paprika,0.2749167369143702
asafoetida,semolina,0.2507904823361211
fenugreek seeds,rice,0.2503182693556192
dried sage,pork sausages,0.2780595195227508
fenugreek seeds,red chili powder,0.2717365937517609
bread slices,swiss cheese,0.28396255146131993
minced ginger,shaoxing wine,0.2673877489720199
pancetta,parmigiano reggiano cheese,0.25238498263068343
hoisin sauce,rice vermicelli,0.26164452893601375
parmigiano reggiano cheese,ricotta,0.250519383765909
lasagna noodles,mozzarella cheese,0.3335967119896654
grated jack cheese,rotisserie chicken,0.29540836079619437
coconut milk,shrimp paste,0.29793103575278285
gochujang base,kimchi,0.45586416047756845
mirin,white miso,0.3605303058965083
artichokes,lemon,0.3058467439466909
garam masala,tomato purée,0.26940350018101245
light corn syrup,pecan halves,0.38473322555112494
oysters,pork butt,0.2569030106632428
bamboo shoots,spring roll wrappers,0.2711352500121888
kasuri methi,red chili powder,0.416145303500353
mustard greens,turnips,0.2678714292272175
corn tortillas,salsa,0.26684361923577227
feta cheese,fresh dill,0.27149549781117865
guacamole,refried beans,0.3336445507808749
pepperoni,rotini,0.2749660979262615
garam masala,red chili powder,0.34816408355501144
cognac,herbes de provence,0.263580424025859
beef brisket,grated jack cheese,0.26358939342912335
clove,coriander seeds,0.33039701455254894
biscuits,raspberries,0.28676427469986204
bourbon whiskey,light corn syrup,0.2959634020376066
celery salt,tilapia fillets,0.2609891575635017
hot water,instant espresso powder,0.2613055447640204
red food coloring,white vinegar,0.27785188059706906
celery seed,mustard seeds,0.2879841867375127
red beans,smoked sausage,0.40405246052695665
salmon fillets,white miso,0.2659873754786097
avocado,cilantro,0.25175072341189536
bottled clam juice,large shrimp,0.275408682568973
guacamole,sour cream,0.3269544218706349
fat skimmed chicken broth,white beans,0.262958471934575
extra sharp cheddar cheese,grits,0.28007981320308317
mexican cheese blend,shredded lettuce,0.2838670555782587
salsa,taco shells,0.28759101751166755
curry leaves,green cardamom,0.2845306108947781
